Campaign,Ad group,Match type,Keyword,Final URL,Priority,Intent note
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Exact,[contrato de compra e venda de imovel],https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Termo central de alta intencao
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Phrase,"contrato de compra e venda de imovel",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Captura variacoes proximas do termo central
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Exact,[contrato particular de compra e venda de imovel],https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Busca por documento para negocio direto
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Phrase,"contrato particular de compra e venda de imovel",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Comprador ou vendedor em fechamento
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Phrase,"contrato imobiliario compra e venda",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Busca ampla mas comercial
GS_BR_COMPRA_VENDA_CONTRATO_202606,elaboracao_contrato,Phrase,"fazer contrato de compra e venda de imovel",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Lead quer solucao pronta
GS_BR_COMPRA_VENDA_CONTRATO_202606,elaboracao_contrato,Exact,[fazer contrato de compra e venda de imovel],https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Alta proximidade com compra
GS_BR_COMPRA_VENDA_CONTRATO_202606,elaboracao_contrato,Phrase,"elaboracao contrato imobiliario",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Media,Termo comercial porem pode atrair aluguel
GS_BR_COMPRA_VENDA_CONTRATO_202606,elaboracao_contrato,Phrase,"elaborar contrato de compra e venda",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Busca por execucao
GS_BR_COMPRA_VENDA_CONTRATO_202606,analise_contrato_recebido,Phrase,"analisar contrato de compra e venda de imovel",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Usuario ja tem documento e risco percebido
GS_BR_COMPRA_VENDA_CONTRATO_202606,analise_contrato_recebido,Exact,[analisar contrato de compra e venda de imovel],https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Alta intencao de atendimento
GS_BR_COMPRA_VENDA_CONTRATO_202606,analise_contrato_recebido,Phrase,"analise de contrato imobiliario",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Media,Termo de intencao ampla
GS_BR_COMPRA_VENDA_CONTRATO_202606,analise_contrato_recebido,Phrase,"recebi contrato de compra e venda",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Lead em momento de assinatura
GS_BR_COMPRA_VENDA_CONTRATO_202606,sinal_promessa_documentos,Phrase,"recibo de sinal compra de imovel",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Usuario antes de transferir valor
GS_BR_COMPRA_VENDA_CONTRATO_202606,sinal_promessa_documentos,Exact,[recibo de sinal compra de imovel],https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Dor direta antes do Pix
GS_BR_COMPRA_VENDA_CONTRATO_202606,sinal_promessa_documentos,Phrase,"promessa de compra e venda de imovel",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Contrato em etapas
GS_BR_COMPRA_VENDA_CONTRATO_202606,sinal_promessa_documentos,Exact,[promessa de compra e venda de imovel],https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Alta,Busca transacional
GS_BR_COMPRA_VENDA_CONTRATO_202606,sinal_promessa_documentos,Phrase,"documentos para compra e venda de imovel",https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606,Media,Busca de checklist com potencial comercial
